# RA_1      DEC_1     Unnamed:_0 Field        ID                       RA_2               DEC_2               FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal          e_F378_PStotal       e_F395_PStotal       e_F410_PStotal       e_F430_PStotal       e_G_PStotal           e_F515_PStotal        e_R_PStotal           e_F660_PStotal        e_I_PStotal           e_F861_PStotal        e_Z_PStotal           r_-_i                 r_-_J0660           e(r_-_i)              e(r_-_J0660)          Unnamed:_0.1 GroupID GroupSize Separation        
  54.621179 -35.45074 61460      SPLUS-s26s31 iDR3.SPLUS-s26s31.003461 47.67503857759193  -34.161992432874115 3.4506687999999994 30      6.177953           12.0            2            20.872007          20.446043          20.831097          20.829777          20.463457000000002 20.352549          20.080208          19.769176          19.348215          19.751360000000002 19.140007          19.430564999999998 0.11431341           0.13970885           0.36406818           0.32523677           0.24129418           0.06646403            0.12176607            0.046692986           0.03411248            0.060184285           0.08187428            0.08450194            0.017815999999999832  0.4209610000000019  0.07617337528662768   0.05782643196105563   ""           1       191       21044.772919233463
  54.621179 -35.45074 62838      SPLUS-s26s31 iDR3.SPLUS-s26s31.026727 48.64676974906038  -33.455085228877685 2.7898805          22      4.7499504          11.0            0            22.686447          22.552677          22.223817999999998 21.892262          99.0               21.290014000000003 20.809784          19.735031          18.827673          19.264534          19.18923           19.135992          0.59404355           0.9480714            1.3647152            0.8222786            21.247465            0.14223534            0.22138983            0.045835285999999996  0.02362392            0.039252628           0.084444195           0.06440698            0.47049699999999817   0.9073579999999986  0.06034602097577088   0.05156513394599296   ""           1       191       19130.72351081334 
  54.621179 -35.45074 64901      SPLUS-s26s32 iDR3.SPLUS-s26s32.014406 50.88001491152107  -33.814450010932724 6.313373           54      4.8129315          12.0            0            19.501806          19.209444          19.122807          18.798023          18.943668          19.27579           18.526367          19.225945          18.599915          19.151888          18.629814          20.12902           0.07231467           0.0981727            0.12294911           0.087577894          0.08977228400000001  0.04409176            0.08575496            0.033429753           0.02292834            0.03706585            0.048840985           0.1491326             0.07405699999999982   0.6260300000000001  0.04991418257232616   0.0405371084414837    ""           1       191       12548.77281438275 
  54.621179 -35.45074 66164      SPLUS-s26s32 iDR3.SPLUS-s26s32.036661 50.26147033287045  -33.027351915583104 2.1478531000000003 14      4.377726           11.0            0            23.594458          99.0               21.518166          20.385191          22.296110000000002 20.298702          19.858347          19.781208          19.362621          19.792112          20.190529          19.56873           2.9424973            21.017565            1.0571396            0.34790838           1.7786442            0.10610986            0.2598664             0.05392706            0.04215851            0.0652361             0.19357473            0.09197597            -0.010904000000000025 0.4185869999999987  0.08463968657464181   0.06845047673803084   ""           1       191       15632.52591573215 
  54.621179 -35.45074 66632      SPLUS-s26s32 iDR3.SPLUS-s26s32.045180 50.042030061874904 -32.845265816925114 8.952994           68      5.1881330000000005 11.0            0            20.562132000000002 20.042920000000002 20.053596          19.540154          99.0               20.678701          18.820116          19.414078          19.080460000000002 19.450478          19.16372           18.77396           0.17734875           0.19724849           0.26888147           0.16840912           20.844637            0.15166110000000002   0.11071823            0.039935935           0.033848625           0.049052455           0.07827431            0.045783315           -0.03640000000000043  0.33361799999999775 0.06325363425014606   0.05235081965657128   ""           1       191       16552.842632144937
  54.621179 -35.45074 67021      SPLUS-s26s33 iDR3.SPLUS-s26s33.004573 51.83900502451886  -34.13314853982729  2.7678332          21      4.427350499999999  12.0            0            19.959671          19.83278           20.019614999999998 19.751724          20.17894           19.990804999999998 20.064384          19.727884          19.329411999999998 19.796017000000003 19.718854999999998 19.878432999999998 0.061475895          0.09352987           0.17353064           0.12735073           0.17257611           0.05251196            0.11665530000000002   0.038685966           0.033712465           0.05654242            0.13988881            0.12725064            -0.06813300000000311  0.3984720000000017  0.06851021255849055   0.051314074694272536  ""           1       191       9494.364818092808 
  54.621179 -35.45074 67850      SPLUS-s26s33 iDR3.SPLUS-s26s33.017633 52.491098022646725 -33.739887063220124 9.791837           98      4.609164           12.0            0            21.401028          21.046518          20.8689            19.967254999999998 19.97984           19.932892000000002 19.489971          19.935085          19.14735           19.560722          19.026255          18.840244000000002 0.20222843           0.2591099            0.3621317            0.15238541           0.14632522           0.050287753           0.07393007            0.045312464000000004  0.029359298           0.046015352           0.07525556            0.050187999999999997  0.37436300000000244   0.7877350000000014  0.06458043057641534   0.053992478854041334  ""           1       191       8818.840674144782 
  54.621179 -35.45074 67930      SPLUS-s26s33 iDR3.SPLUS-s26s33.018981 51.95562972916677  -33.699617307354536 2.5745506000000002 29      3.7603942999999997 12.0            0            19.57463           18.990833          19.725521          19.851715          19.711876          19.699831          19.786201000000002 19.380758          19.021254000000003 19.377897          19.549894000000002 19.660137          0.04849541           0.052228022          0.14399317           0.13986619           0.11859982           0.04249499            0.09419357            0.030290233           0.027519237000000002  0.040144756000000004  0.12083359            0.10499382            0.0028609999999993363 0.3595039999999976  0.05029015459803067   0.0409244012815882    ""           1       191       10107.117525046411
  54.621179 -35.45074 70713      SPLUS-s26s34 iDR3.SPLUS-s26s34.013949 52.547927425767384 -33.84045116496162  2.400095           53      3.5283372          11.0            0            99.0               21.14687           20.68945           21.33455           21.352762          19.696787          19.388716          18.357012          17.675549          17.480210999999997 17.195591          17.075207000000002 21.804026            0.36680627           0.35654417           0.6097792            0.5965059            0.05496150599999999   0.08141195            0.016040666000000002  0.011332638999999999  0.009919648           0.015009941499999999  0.0111198155          0.8768010000000039    0.6814630000000008  0.018860073758272     0.019640052760312967  ""           1       191       8444.007025709003 
  54.621179 -35.45074 70762      SPLUS-s26s34 iDR3.SPLUS-s26s34.014649 53.20245173519618  -33.82600444094056  3.2848346          81      4.161396           12.0            2            23.5527            21.476856          21.269527          20.639387          20.405561          20.263192999999998 19.90395           18.867832          18.151659          18.401207          17.912712          17.964389999999998 2.361046             0.50130767           0.6083345            0.3221797            0.25206035           0.08790799            0.1237616             0.023457652000000002  0.015492181           0.018809294           0.024980612000000003  0.021749431           0.4666250000000005    0.7161730000000013  0.030067440498511677  0.02811172548047994   ""           1       191       7201.828126148939 
  54.621179 -35.45074 71069      SPLUS-s26s34 iDR3.SPLUS-s26s34.019010 53.00416234244469  -33.695396565440625 3.0475907          27      4.118422           12.0            0            20.055794          19.66074           19.781048000000002 19.951726999999998 19.972523000000002 19.81813           19.800207          19.55419           18.692028          19.627335000000002 18.928005          19.316357          0.10322324           0.10394376           0.16665305           0.17671506           0.17324913           0.0603008             0.113748945           0.040275197           0.022595046           0.05030223            0.055895653           0.06783434            -0.07314500000000379  0.8621619999999979  0.06443916383971558   0.046180381084730396  ""           1       191       7931.14668517266  
  54.621179 -35.45074 74835      SPLUS-s26s35 iDR3.SPLUS-s26s35.026917 54.14669238654196  -33.48365861830581  3.4912355          19      4.164194           12.0            0            21.040838          20.758377          20.538425          20.988575          20.585873          20.62282           19.883081          19.909153          19.208145000000002 19.90585           19.31468           19.371423999999998 0.14977486           0.21195209           0.29666945           0.4732245            0.33284742           0.13637383            0.103739634           0.057743706           0.030208291           0.06780726            0.06415108            0.07227127            0.0033029999999989457 0.7010079999999981  0.08906267507391653   0.06516806294309442   ""           1       191       7220.134290229512 
  54.621179 -35.45074 75002      SPLUS-s26s35 iDR3.SPLUS-s26s35.029278 55.55556185639353  -33.41326515987398  1.9275999          19      4.051383           12.0            0            20.7346            20.855232          20.129906          19.969688          19.631493          19.415634          19.240223          18.979443          18.347855          18.780598          18.732058          18.658327          0.11529028           0.23053664           0.2076692            0.18875907           0.14185128           0.047235905999999994  0.05921429            0.026583799999999998  0.015460238000000001  0.025978584           0.03845998            0.038341496           0.1988449999999986    0.6315880000000007  0.03716968185342801   0.030752518294550186  ""           1       191       7841.963222052717 
  54.621179 -35.45074 75628      SPLUS-s26s35 iDR3.SPLUS-s26s35.038098 54.69472427671282  -33.063021381556524 3.1071987          100     3.7336512          12.0            0            21.407341          20.647663          20.913656          20.254934          19.97568           19.059517          18.599610000000002 18.160622          17.593908          17.703522          17.392879999999998 17.375841          0.21232350000000003  0.19840127           0.42663190000000006  0.24613824           0.19414236           0.03568937            0.035707697000000004  0.014772301000000002  0.009430593000000001  0.011871534           0.013798788999999999  0.013965911000000001  0.4571000000000005    0.566714000000001   0.018951363970642246  0.017525894019029386  ""           1       191       8598.571141799861 
  54.621179 -35.45074 81048      SPLUS-s26s38 iDR3.SPLUS-s26s38.015238 58.9960615975547   -33.82711197743208  3.7052205000000002 22      5.172807           12.0            0            20.339924          20.072897          20.369404          20.163082          20.304409          20.558144          20.543707          19.935532000000002 19.524397          19.957808          20.005398          20.097998          0.07526876           0.097998105          0.20572461           0.15038705           0.16972372           0.0713913             0.16207893            0.041220445           0.035277802000000004  0.06425479            0.15419112            0.15492956            -0.022275999999997964 0.4111350000000016  0.07634004927914395   0.0542553997308031    ""           1       191       14213.375907595806
  54.621179 -35.45074 81865      SPLUS-s26s38 iDR3.SPLUS-s26s38.029033 59.86940497178582  -33.456447462352834 4.5915313          33      6.3324622999999995 12.0            0            23.435465          22.542254999999997 21.701641          21.288109          21.254562          21.191166          20.451508          19.925322          19.4762            19.620732999999998 19.232632000000002 19.23364           1.1511115            0.858892             0.69638073           0.39428517           0.38544676           0.12044613            0.15077955            0.041570455           0.034590300000000004  0.048130915           0.07842998            0.07157066            0.30458900000000355   0.4491220000000027  0.0635978593007992    0.05407949318361837   ""           1       191       17150.752052168456
