Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)"
HYDRA-0095 iDR3.HYDRA-0095.000473 151.36242997478598 -37.0439524256211 4.7893434 234 3.273787 12.0 0 20.736183 18.688297 17.138873999999998 16.415262 16.28025 15.358235999999998 15.6324415 14.427701 13.586714 13.45181 15.28425 14.946081 0.41092572 0.076400235 0.035581954 0.01818799 0.015364818 0.004937557 0.008895695 0.0027652809999999996 0.0017477429000000001 0.0018052796 0.0062925084 0.0049523613 0.9758910000000007 0.8409870000000002 0.0033023951070605038 0.0032712970292318928
HYDRA-0097 iDR3.HYDRA-0097.010011 155.65158960596418 -36.9023463587666 4.7258463 486 3.0049696 12.0 0 17.522831 17.285857999999998 17.011337 15.976678 15.649896 14.827304000000002 14.846364999999999 14.518656 13.721363 13.648578 13.466551 13.797556 0.013509578999999999 0.019526644 0.024264006 0.012007431 0.010838283999999998 0.0029884440000000003 0.0057363305 0.0021651254999999997 0.0017865192000000002 0.0014330501000000002 0.0023947482 0.0018999672 0.8700779999999995 0.7972929999999998 0.002596420809472197 0.0028070303316349984
HYDRA-0103 iDR3.HYDRA-0103.000336 150.83321357311652 -38.41429873694168 4.8127246 148 3.2263707999999998 12.0 0 18.696323 18.414524 17.784344 17.121222 17.744274 16.454622 17.152475 15.899201999999999 15.703117 17.579546 16.952151999999998 16.24842 0.040860254 0.04467849 0.046069995 0.023253272999999998 0.032918148 0.006163346 0.018765464 0.003946489 0.0041754073 0.012306178000000001 0.01569246 0.0077552963 -1.6803440000000016 0.1960849999999983 0.01292349768424961 0.005745328671887648
HYDRA-0111 iDR3.HYDRA-0111.084971 165.62069587224326 -37.115496073518585 2.53905 265 3.0745013 12.0 0 18.382431 17.71995 17.276566 16.575216 16.387473999999997 16.422604 15.654144 15.618476000000001 14.988134 15.26141 14.63419 15.037829 0.021857447999999998 0.022128766 0.026316658 0.0141684655 0.011882301999999999 0.0051363846 0.006850187 0.0032844944 0.0028933238 0.0028471383 0.006552095500000001 0.0031906608 0.35706600000000144 0.6303420000000006 0.004346734402164256 0.0043771253209472765
HYDRA-0135 iDR3.HYDRA-0135.072368 162.46978484174628 -41.647551695719116 1.8874482 232 2.9381301 12.0 0 17.678162 17.272919 17.062567 16.586014000000002 16.429256 16.063004 15.878526 15.565147 15.251755 15.3993845 15.366995000000001 15.351557000000001 0.013854986000000001 0.016788756000000002 0.02141498 0.014534973 0.013079057 0.004726468 0.008229577 0.0032610003999999997 0.0032197856 0.0031536196 0.005317041 0.003999261 0.1657624999999996 0.31339200000000034 0.004536456788100634 0.004582700395920239
HYDRA-0136 iDR3.HYDRA-0136.074673 163.95305284259857 -41.13399719430209 4.264757599999999 223 3.1660926 12.0 0 18.389355 19.019588 19.846892999999998 17.242151 17.072317 16.298014000000002 15.987889000000001 15.861776999999998 14.591984 14.949665 14.627235 15.237279000000001 0.03608958 0.08645644 0.27744650000000004 0.029220441 0.022919592000000003 0.00589275 0.00931405 0.003941489 0.0023662306 0.0024949708 0.00364784 0.0037372918 0.9121119999999987 1.2697929999999982 0.004664784542717235 0.00459721467733424
HYDRA-0146 iDR3.HYDRA-0146.065705 152.81570652134639 -44.57222297861679 4.9057345 250 3.2812525999999997 12.0 0 17.474111999999998 17.389914 17.255518 16.705673 16.490604 15.900351 15.794478 15.2355385 14.71284 14.930992000000002 14.472527 14.412254 0.01478849 0.021822294 0.028596291 0.01628293 0.014390416000000001 0.004828623 0.008034386999999999 0.0029600603 0.0025728564000000002 0.0031586338 0.0034261855999999998 0.0025637439999999997 0.30454649999999894 0.5226985000000006 0.004328847937054215 0.003921931543851454
STRIPE82-0006 iDR3.STRIPE82-0006.018759 3.2098061959067565 0.5811859169421968 3.0805423 231 3.2162006 12.0 0 17.96999 17.889608 17.43636 16.793152 16.650116 16.114760999999998 15.961661999999999 15.704937 15.411039 15.588425 15.164596 15.499296 0.020918893 0.028128052 0.029029345 0.016227771999999998 0.013709917 0.0044079570000000005 0.008181401999999999 0.0033265678 0.0032343299 0.0033161656 0.0046691676 0.0042177094 0.1165119999999984 0.29389799999999866 0.004697127591903397 0.00463971370129999
STRIPE82-0006 iDR3.STRIPE82-0006.029164 2.6004631929730784 1.430751216679095 3.942193 477 3.1412193999999998 12.0 0 16.31881 15.899122 15.808269500000002 15.244148999999998 15.161848 14.793370000000001 14.732389999999999 14.7603 14.433418 14.696945999999999 14.082987 14.383435999999998 0.007162159300000001 0.00797485 0.010345041 0.006752818000000001 0.006025924 0.0022704338 0.00434568 0.0020823332 0.002018063 0.0021059148000000002 0.0026442066 0.002235611 0.06335400000000213 0.3268820000000012 0.0029615855045365957 0.0028997740994414103
STRIPE82-0006 iDR3.STRIPE82-0006.029985 2.9729386302949123 1.4423918112515757 2.8555338 281 3.2178139999999997 12.0 0 17.996822 17.802414000000002 17.40991 16.387214999999998 16.33255 15.313460999999998 15.645437 15.333245999999999 14.964522 15.196979 15.365967000000001 15.146761999999999 0.020748956000000002 0.02571608 0.0277472 0.012808143999999999 0.011485303999999998 0.002936383 0.0069707735 0.002771494 0.0026119545000000003 0.0027269593 0.005289503399999999 0.003436898 0.13626699999999836 0.3687239999999985 0.0038881211421318254 0.003808344168021878
