# RAJ2000 DEJ2000
4.489832 0.028392
6.786899 0.152439
9.14897 0.030337
9.14897 0.030337
11.54798 0.00257
14.174092 0.100248
15.564421 -1.782667
334.595813 -0.809068
340.626623 -0.809442
342.635509 -0.810541
344.647031 -0.811608
348.662659 -0.80973
348.662659 -0.80973
324.23722 1.564646
324.23722 1.564646
324.23722 1.564646
330.866193 1.563249
335.283056 1.565931
344.119517 1.566642
323.030209 -0.810151
334.335162 0.925483
33.214536 -0.15613
16.292284 -1.226332
18.949135 -1.009603
17.418423 0.089941
21.91805 -0.349171
348.424229 -0.935703
346.504313 -0.992929
346.504313 -0.992929
339.492064 -0.983933
339.492064 -0.983933
341.115543 -0.922219
327.90357 -0.985177
5.646053 -0.138428
3.836174 0.50139
3.836174 0.50139
3.836174 0.50139
2.715726 1.59064
9.27116 0.153119
9.27116 0.153119
