ID RA DEC Redshift
SDSSJ012213.86+005731.4 20.55775 0.95872957 0.007370840758085251
SDSSJ025557.26+004133.4 43.988596 0.69261652 0.013862529769539833
SDSSJ030715.63+004352.1 46.815145 0.73113707 0.010046225972473621
SDSSJ115748.00+014320.8 179.45 1.722435 1.3651808500289917
SDSSJ230405.23-001140.4 346.02181 -0.19454328 0.32296714186668396
SDSSJ011207.48-005955.6 18.031155 -0.998785 0.012564526870846748
SDSSJ010907.60+000649.8 17.28167 0.113844 1.3720229864120483
SDSSJ011247.13+005921.6 18.196367 0.989342 0.0035812731366604567
SDSSJ011340.45+005239.2 18.418543 0.877542 0.00381461507640779
SDSSJ012213.13+005701.2 20.554718 0.950337 0.007479434367269278
SDSSJ013400.42-010358.3 23.50173 -1.066192 0.016021564602851868
SDSSJ003234.63-001557.1 8.144271500000002 -0.26586529 3.2317986488342285
SDSSJ010336.41-005508.6 15.90169600000002 -0.9190677 2.4518537521362305
SDSSJ011230.56+001441.5 18.12732599999998 0.24486078 3.2418148517608643
SDSSJ013034.18-002106.6 22.64241700000002 -0.3518384 3.2350919246673584
SDSSJ012226.77+000327.5 20.61152199999998 0.057651902 2.483975887298584
SDSSJ020025.41+002916.6 30.105886 0.48795799 0.312644898891449
SDSSJ021617.19-011046.9 34.07162499999998 -1.1797059 3.2646379470825195
SDSSJ021854.74-004809.6 34.72808600000002 -0.8026725 7.110885781003162e-05
SDSSJ011818.14+001455.3 19.57556399999999 0.24868711 1.371575117111206
SDSSJ011128.39+000143.8 17.86828300000002 0.028819758 0.7650137543678284
SDSSJ010925.97-003739.1 17.35819500000002 -0.62752001 1.3594541549682617
SDSSJ010918.56+005419.4 17.32734699999997 0.90537702 1.3557300567626953
SDSSJ011253.09+005921.7 18.221226 0.98936537 0.0036829907912760973
SDSSJ012110.75-005037.2 20.29478699999999 -0.84366598 1.3514631986618042
SDSSJ011532.90-005200.2 18.887069 -0.86673433 0.005761287175118923
SDSSJ013303.18+005102.7 23.26326599999999 0.85074697 0.31281334161758423
SDSSJ215751.28-014916.0 329.4636499999999 -1.8211202 -0.0009695565677247941
SDSSJ215618.87-011035.3 329.07862 -1.1764606 0.016175370663404465
SDSSJ220242.61-012528.1 330.6775600000001 -1.4244673 1.3761225938796997
SDSSJ220851.96-010603.8 332.21651 -1.101054 0.3516475558280945
SDSSJ025628.43+003628.3 44.118473 0.60786063 0.009188669733703136
SDSSJ025607.24+011038.7 44.03017 1.1774222 1.3485822677612305
SDSSJ030630.33-000623.0 46.626391 -0.10637626 0.1058659628033638
SDSSJ030449.86-000813.4 46.207754 -0.13706169 3.2877440452575684
SDSSJ030434.75-002830.8 46.144794 -0.47523169 0.0056119756773114204
SDSSJ030457.97+005714.1 46.241535 0.95391523 0.01211142260581255
SDSSJ020827.07-005208.2 32.112779 -0.86893213 1.3405041694641113
