# RA_1        DEC_1       Field          ID                         RA_2                 DEC_2                 FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal          e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)           GroupID   GroupSize   Separation          
  54.621179   -35.45074   SPLUS-s27s38   iDR3.SPLUS-s27s38.044990   61.3910130275791     -34.15513263979405    9.13841              227       3.6691656000000004   12.0              2              18.242363            18.70134             18.537257999999998   17.542279999999998   17.168377            18.747335            16.933857            17.883091            16.655828            16.995926            17.771317            15.91911             0.018466312            0.038264144            0.05229566             0.027289797            0.020293593000000002   0.019960394             0.014477002             0.010688636000000001    0.0064686113            0.0073378309999999995   0.02249029              0.005456374             0.8871649999999995       1.2272630000000007    0.012964979881398081    0.012493593225769107   1         247         20543.487408161964  
  54.621179   -35.45074   SPLUS-s28s43   iDR3.SPLUS-s28s43.044409   70.84459114792894    -35.93093018505584    8.842253999999999    631       2.9615080000000003   12.0              2              15.389847            15.029410999999998   14.950647            14.405592            14.301347            14.152633999999999   13.914501999999999   17.582635999999997   13.73584             13.638437            13.607631            15.941692999999999   0.005228412            0.006175464499999999   0.008532638            0.0058520925           0.0055999295           0.0022535657            0.0037925742            0.010464133             0.0017297491            0.00145526              0.0028743614000000003   0.005998886             3.9441989999999976       3.8467959999999977    0.010564840799050831    0.010606135554038512   1         247         47411.57562204189   
  54.621179   -35.45074   SPLUS-s29s31   iDR3.SPLUS-s29s31.021492   50.976431222487754   -37.511985357624205   21.251617            632       3.6971407            12.0              3              19.166042            18.640198            18.654068            18.616243            18.582635999999997   18.4371              18.242813            17.867552            16.832703            17.878629999999998   17.781609            17.655231            0.05431862             0.050913587            0.077369496            0.06895359599999999    0.06332921             0.023008645             0.038236495             0.012742912             0.0076270033999999995   0.013877941000000001    0.026850132000000002    0.017550034             -0.0110779999999977      1.0348490000000012    0.018840887787979235    0.01485102646632062    1         247         12896.568595606317  
  54.621179   -35.45074   SPLUS-s29s32   iDR3.SPLUS-s29s32.040836   51.98875139192221    -37.14833273749018    39.567818            999       4.10465              12.0              3              18.780518            18.317802            18.31242             18.271187            18.098053            18.061562            17.91187             17.716925            17.210635999999997   17.628829999999997   17.547665            17.45909             0.044149815999999995   0.046952546            0.071766734            0.06898511             0.059913553            0.023015587             0.040578168             0.013993961999999999    0.011180488999999998    0.014091093             0.025432903             0.018460626             0.0880950000000027       0.5062890000000024    0.01985925160704937     0.017911848222240075   1         247         9780.942340087038   
  54.621179   -35.45074   SPLUS-s29s32   iDR3.SPLUS-s29s32.040851   51.992392138090636   -37.14656137274093    11.888442999999999   76        3.8438537000000004   12.0              3              17.713805999999998   17.481722            17.454792            17.366789999999998   17.231222            17.337025            17.25571             17.044125            16.289745            17.077412            17.051525            16.939754            0.01995109             0.025511254            0.037646532            0.03417595             0.03084747             0.0133834565            0.024764917999999997    0.0087373825            0.006252920699999999    0.009451257             0.017405154             0.012342458             -0.033286999999997846    0.7543800000000012    0.012871212523742868    0.010744341312141695   1         247         9768.781076447363   
  54.621179   -35.45074   SPLUS-s29s32   iDR3.SPLUS-s29s32.040856   51.99268981843989    -37.148181703046134   9.287666             25        3.8288462            12.0              3              17.813938            17.496551999999998   17.479347            17.27335             17.296324            17.212996            17.15045             16.874838            16.236807000000002   16.806263            16.748009            16.623018            0.021343747000000003   0.025718462            0.038220517            0.03184518             0.032263108            0.012234426999999999    0.02291632              0.0078047533            0.0060550533            0.007840238000000001    0.013930386999999999    0.009752123             0.06857499999999916      0.638030999999998     0.011062707895018512    0.009878149854082079   1         247         9771.690784311346   
  54.621179   -35.45074   SPLUS-s33s36   iDR3.SPLUS-s33s36.035674   63.50312977608104    -42.51105590589452    12.596975            2         13.963635            9.0               1              99.0                 22.870167000000002   99.0                 99.0                 22.939266            23.502544            21.555649            17.094326000000002   16.786213            17.775928            22.95306             16.726341            22.208424              1.6169416              20.98384               21.129164000000003     2.2921337999999998     1.0683283000000001      0.45010296              0.0072266985999999995   0.007540521             0.012017288999999999    2.4538182999999996      0.0090693245            -0.681601999999998       0.3081130000000023    0.014022853046536676    0.010444358745594818   1         247         35511.122729435956  
  54.621179   -35.45074   SPLUS-s33s36   iDR3.SPLUS-s33s36.036981   63.50293386682446    -42.48062131565129    10.040578            15        14.270970000000002   10.0              3              99.0                 99.0                 22.910603            21.650866            21.189178            24.482971            22.372532            17.087015            16.77347             17.674889            21.641865            16.7343              22.208424              21.530306              2.7284064              0.74660426             0.47100863             2.6259577000000003      0.94105214              0.0072005256            0.007490396999999999    0.011268605             0.73996454              0.009142202             -0.5878739999999993      0.3135450000000013    0.013372697093790778    0.010390072960950002   1         247         35436.44163657769   
  54.621179   -35.45074   SPLUS-s33s36   iDR3.SPLUS-s33s36.038100   63.50302890454854    -42.495911349816055   20.524829999999998   26        10.037961            8.0               3              99.0                 99.0                 99.0                 20.989225            99.0                 26.017845            22.485275            17.092379            16.768698            17.702747            22.165657            16.722303            22.208424              21.530306              20.98384               0.41302338             21.175362              10.753774               1.0415787               0.007220129499999999    0.007469753000000001    0.011473616             1.1944131000000002      0.00906396              -0.6103679999999976      0.32368100000000055   0.013556331882637952    0.010388815133487517   1         247         35473.93169039048   
  54.621179   -35.45074   SPLUS-s33s36   iDR3.SPLUS-s33s36.039474   63.50284323881547    -42.46680862834267    26.560321999999996   31        9.214313             8.0               3              22.838306            99.0                 99.0                 99.0                 21.672546            99.0                 21.200356            17.246166            16.857702            17.293587            21.457962            16.823772            0.83540976             21.530306              20.98384               21.129164000000003     0.7257051999999999     22.603722               0.32883117              0.0078403475            0.007843092             0.0088265035            0.62497425              0.009718056             -0.047420999999999935    0.38846399999999903   0.011805855028597823    0.011089866592579925   1         247         35402.60357713056   
