# "Unnamed: 0" Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)" "Unnamed: 0.1"
155556 HYDRA-0087 iDR3.HYDRA-0087.008304 153.42611752163796 -35.55862460323203 23.940472 468 3.1372662 12.0 0 15.989559 15.72216 15.422051000000002 15.007535999999998 14.915132 14.594852 14.417032999999998 15.396763 14.288587 15.376818 14.02125 16.340416 0.006022446 0.0077750897 0.009258446 0.0066536516 0.006124366500000001 0.0023463095999999998 0.0040407656 0.003061758 0.0023042294000000002 0.0032718991999999996 0.0029726026 0.008443538 0.01994499999999988 1.1081760000000003 0.004481036311560601 0.0038319492661553285 ""
173764 HYDRA-0095 iDR3.HYDRA-0095.009684 150.34053041002875 -36.90785248434588 9.90138 955 3.0303123 12.0 3 18.699501 17.933445000000003 16.7509 16.269316 15.747595 15.632448000000002 15.313663 15.435471 14.6915245 14.726987 14.432196 14.339167000000002 0.0689368 0.041853387 0.02687202 0.01702618 0.011603651999999999 0.00575673 0.007678686600000001 0.00456498 0.0029804391999999997 0.0034091715 0.003928412 0.0035285334999999997 0.7084840000000003 0.7439464999999998 0.005697498812357248 0.005451794220740236 ""
201469 HYDRA-0103 iDR3.HYDRA-0103.086051 149.74941795937931 -37.16627504116457 11.754207000000001 2072 2.8597574 12.0 3 24.97928 18.12075 17.458706 17.237568 16.823917 15.898653 15.098617 14.962442000000001 14.284459 14.15756 13.904026000000002 13.822195 10.483027 0.03539739 0.0357858 0.025569357 0.018286666 0.0047175544 0.006122944 0.0025214457 0.0021253938 0.0018234485 0.0027010576 0.0019235029 0.804882000000001 0.6779830000000011 0.00311169613718961 0.0032977245523431657 ""
207991 HYDRA-0105 iDR3.HYDRA-0105.055887 154.755114203685 -37.671990131399845 10.586653 2258 3.7422078 12.0 2 16.913635 16.393394 16.269527 16.275063 16.153889000000003 16.125711 15.898125 15.868675 15.463541000000001 15.816572 15.719395 15.665148 0.010505583 0.011218128 0.01526821 0.012771191000000001 0.0115836775 0.004873042 0.008211939 0.003800355 0.003654981 0.003837454 0.006789086 0.0049400227 0.0521029999999989 0.40513399999999855 0.005400810247374092 0.0052727207622238065 ""
230168 HYDRA-0112 iDR3.HYDRA-0112.051014 150.74173468394466 -39.375773299619134 138.50163 3045 2.7570658 12.0 7 16.800235999999998 16.284306 16.043997 15.656363 15.634410999999998 15.746676999999998 15.282194 15.440323000000001 14.988954000000001 15.303225 15.042881 15.1381 0.00921265 0.010118666 0.012876058000000001 0.008697472 0.008163149 0.00369227 0.0060071023 0.0029387216 0.0029104848 0.0029794911 0.0046040523 0.0036726786999999998 0.13709800000000172 0.4513689999999997 0.00418490762828593 0.0041360617032797755 ""
230220 HYDRA-0112 iDR3.HYDRA-0112.052047 150.24561993489834 -39.41588508867294 8.644569 5775 5.737529299999999 12.0 7 17.996758 17.616518 16.992573 16.605267 16.103796 15.741478 15.275568 15.061893 14.590206 14.838575 14.654225 14.7266655 0.018907038 0.022171938999999998 0.022706913 0.014560207 0.010431316999999999 0.0036757577000000002 0.005975045 0.0024663184 0.0024202112 0.0023649237 0.0037536363 0.0029292896 0.22331799999999902 0.4716869999999993 0.0034169563293961263 0.003455452025825854 ""
259687 HYDRA-0120 iDR3.HYDRA-0120.037401 165.4690141828879 -39.289439388840506 9.544908 397 2.464113 12.0 2 22.177746 16.706772 16.544754 17.58711 16.187808999999998 17.610992 14.585451 14.446848000000001 13.890035000000001 14.280879999999998 13.643301000000001 14.140998999999999 0.53122485 0.012309916 0.015312593999999999 0.025284242000000002 0.010260984 0.009105764 0.003990939000000001 0.0017747544 0.0017084939999999999 0.0017157 0.0038483732 0.0019968448 0.165968000000003 0.556813 0.002468477196637506 0.0024634741582479328 ""
336643 HYDRA-0141 iDR3.HYDRA-0141.000909 156.96556060694496 -43.90370677872753 10.981630000000001 66 3.7725692000000004 12.0 3 16.003534 15.726385 15.668823000000001 15.592494 15.513017999999999 15.494445 15.397713000000001 15.056795999999999 14.043714999999999 15.001738000000001 14.793379999999999 14.726351000000001 0.0072913826 0.008675752 0.011676705 0.01005479 0.009456891 0.0039059073 0.006836883 0.0025691637 0.0019198811999999999 0.0026695211 0.0043168236 0.0029583073 0.055057999999997165 1.0130809999999997 0.0037049892065622674 0.003207264557143849 ""
336856 HYDRA-0141 iDR3.HYDRA-0141.005523 156.96375808362262 -43.903819286227844 20.433557999999998 2092 3.6021366 12.0 3 16.339218 15.987685999999998 15.855488000000001 15.696604999999998 15.545643 15.378829000000001 15.207234 14.548539000000002 13.4687805 14.267662 13.953335000000001 13.822379000000002 0.008593752 0.009855367 0.01280866 0.010584385 0.009608368 0.003696069 0.006237475 0.0020213025 0.0014691220000000002 0.0018751463 0.0028523740000000004 0.0018874797 0.28087700000000204 1.0797585000000023 0.002757142985575819 0.0024987963597280696 ""
353000 HYDRA-0144 iDR3.HYDRA-0144.088911 164.16290089688027 -42.49503798366562 23.630661 487 2.9562504 12.0 2 14.723514999999999 15.639307 15.344697 15.272089000000001 14.585644 16.596067 14.198282 15.6244545 13.960251000000001 14.3386 12.971395 13.17334 0.0033342353999999998 0.0072772159999999995 0.008606715 0.007831011 0.0052578105000000005 0.007051701999999999 0.0036338322999999997 0.0034332315000000003 0.0017521546 0.0018479276999999999 0.0016279495 0.0012977022999999999 1.285854500000001 1.6642034999999993 0.003898963364411051 0.0038544940361730246 ""
371046 HYDRA-0148 iDR3.HYDRA-0148.117304 156.9637129340573 -43.90389541595707 15.850780499999999 1583 3.5505487999999996 12.0 3 16.327143 15.920612 15.800045 15.700532999999998 15.517304999999999 15.345218 15.184557 14.475673 13.443934 14.223804000000001 13.929649 13.764767 0.008875406 0.009751085 0.012545951000000001 0.010327692 0.0092487885 0.003427296 0.0059193247 0.0019330794 0.0013869997000000001 0.0017479132 0.0027008634 0.0017402760999999998 0.25186899999999923 1.031739 0.002606145913305431 0.0023791940094293382 ""
371095 HYDRA-0148 iDR3.HYDRA-0148.118493 156.96552926317239 -43.90377424167153 15.039525 135 3.7497672999999994 12.0 3 16.009066 15.643332000000001 15.610605 15.562523 15.4892845 15.48272 15.36285 15.003452 14.058470999999999 14.989139999999999 14.814093 14.716768 0.007446943 0.008422421999999999 0.0113489125 0.00958954 0.009115102 0.003677925 0.006482304 0.0024980314 0.0018518560999999998 0.0025472238 0.004194499 0.002831636 0.014312000000000324 0.9449810000000003 0.00356770373807473 0.003109587093247779 ""
54011 STRIPE82-0089 iDR3.STRIPE82-0089.058994 302.46418340779064 -0.8216858745468197 89.24473 12116 3.7974156999999997 7.0 3 99.0 99.0 24.555788 99.0 99.0 16.02635 99.0 15.815 15.2464 15.663828 16.432270000000003 16.046242000000003 22.376482 21.461147 15.683145499999998 21.113954999999997 20.927185 0.0044939103999999995 21.19365 0.003752315 0.0033386212 0.0035081515000000003 0.010654901999999999 0.005859743000000001 0.15117199999999897 0.5686 0.005136827309359081 0.005022574974683249 ""
74009 STRIPE82-0094 iDR3.STRIPE82-0094.003668 304.58609653278285 0.02380760928889852 12.855312 2614 3.0286242999999997 12.0 3 19.238964000000003 20.121515 20.415281 16.48687 15.922707 15.619670999999999 14.689682000000001 14.647747 13.208188 14.157735999999998 12.896841 13.625048000000001 0.08804963 0.44652529999999996 1.108011 0.035682015 0.030208127999999997 0.0056368513 0.010623006 0.0033779994 0.005323392 0.0028375792 0.0050786994 0.0027707014 0.49001100000000264 1.439559000000001 0.004411659060112533 0.0063047111220153745 ""
95555 STRIPE82-0100 iDR3.STRIPE82-0100.106000 308.62381305665144 1.4054759181760714 9.197873 227 3.049425 12.0 2 17.434975 17.05632 16.891922 16.348953 16.353748 17.367404999999998 15.746266 15.984979000000001 15.137749 15.361659 14.718601999999999 15.256704999999998 0.011909308 0.013921081 0.017098894 0.011692835 0.011363044 0.008050032 0.0069957896999999995 0.0036686545 0.002769232 0.002791552 0.0033593513 0.0033369503999999997 0.6233200000000014 0.8472300000000015 0.0046099662047648735 0.004596484712276791 ""
103202 STRIPE82-0103 iDR3.STRIPE82-0103.089147 312.07133581521634 0.00953919783221378 21.807367000000003 693 2.5831668 12.0 6 15.025922 14.610498000000002 14.475585999999998 13.965160000000001 13.900793 14.620870000000002 13.503169 14.066003 13.526302 13.575784 12.998288 13.385233 0.0037250658000000003 0.0042970646 0.0056535056999999994 0.003922798 0.003620944 0.002201967 0.002543749 0.0015221610999999998 0.0013134248000000002 0.0011928558 0.001548572 0.001282902 0.49021899999999974 0.5397010000000009 0.0019338767732063101 0.002010487284120009 ""
110070 STRIPE82-0106 iDR3.STRIPE82-0106.060405 312.7940176475467 1.4047722512642915 21.1904 979 2.9855082000000004 12.0 2 18.141432000000002 17.090195 15.586798000000002 15.282101999999998 15.175923000000001 15.468398 15.139710999999998 15.2126255 14.871954999999998 15.147822 15.349986 15.259424 0.026143947999999997 0.017131676999999998 0.009908547 0.007397002 0.0067032548 0.0034189906 0.005396554699999999 0.0025430976 0.0025509102 0.002584934 0.0050228913 0.003487542 0.06480350000000001 0.34067050000000165 0.003626186590273832 0.003602011695093424 ""
110075 STRIPE82-0106 iDR3.STRIPE82-0106.060573 313.54327979145785 1.4095333872577558 50.069107 1506 3.1223447 12.0 2 20.410492 18.922382 18.1725 17.596577 17.2081 16.49111 16.291922 15.761999 14.872775 15.493814000000002 15.369782 15.163832000000001 0.17798804 0.06712429 0.052289225 0.03162969 0.02280779 0.006089644 0.010149787 0.0033843603000000004 0.0025526033999999998 0.0030975115999999996 0.005068605 0.0032911630999999998 0.26818499999999723 0.8892239999999987 0.004587861457405907 0.0042390657883438956 ""
112649 STRIPE82-0108 iDR3.STRIPE82-0108.000407 314.6280272695623 0.025998280746325927 22.720291 455 3.181023 12.0 2 18.834263 19.437948000000002 14.265198000000002 14.993314000000002 15.103581 14.867392 14.330515 14.696445 13.864388 17.740116 14.023313 16.976425 0.030174613 0.07088761 0.0045457664 0.0054064337 0.0053337975 0.0022478309 0.0032911256 0.0019759405 0.0015577626 0.012299046999999999 0.0024721911 0.011984743999999999 -3.043671 0.8320570000000007 0.012456761134731178 0.002516140929578272 ""
