# Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal r_-_i r_-_J0660 e(r_-_i) e(r_-_J0660)
HYDRA-0078 iDR3.HYDRA-0078.051591 152.04483687127907 -33.517284694292314 8.228542 895 3.9336032999999997 12.0 2 18.57245 18.116184 17.988228 17.82542 17.733192000000003 17.502869 17.33294 16.815815 16.13929 16.477186 16.229834 16.110770000000002 0.024093974 0.026309482999999998 0.036459647000000005 0.028891927999999997 0.02756132 0.009552662 0.017560696 0.0058038659999999995 0.004923438 0.005268568 0.008720735 0.0059074719999999995 0.33862900000000096 0.6765250000000016 0.007838537447545939 0.007610854241529001
HYDRA-0079 iDR3.HYDRA-0079.024841 153.68898998838594 -34.059173447990155 33.463046999999996 6888 3.9833915 12.0 3 19.593756 19.16228 18.924366 18.60947 18.360409 17.979565 17.794384 17.154964 16.747505 16.719837 16.480053 16.339838 0.043739792 0.04898108 0.06348145 0.045368175999999996 0.037355203 0.012005547 0.021698127 0.0068764635 0.007925620999999999 0.00602065 0.009675704 0.006793266 0.4351270000000014 0.40745899999999935 0.00913969237388941 0.01049291277493877
HYDRA-0085 iDR3.HYDRA-0085.071533 164.26801410841603 -33.15564025093645 9.065154 3035 3.89339 12.0 2 18.072754 17.548632 17.603903 17.401020000000003 17.353794 16.879274 16.541135999999998 16.082995999999998 15.351407 15.74565 15.564995000000001 15.422818 0.021306446 0.024430342 0.037276853 0.02741384 0.025299504 0.0071216994 0.013394123 0.004362488 0.0034764335 0.0039505335 0.00596809 0.0042539765 0.33734599999999837 0.7315889999999978 0.005885407078933984 0.0055782516463553575
HYDRA-0086 iDR3.HYDRA-0086.002690 150.98300383297908 -35.66597521756464 84.15984 1979 2.9691951000000003 12.0 2 19.3698 19.191933 19.64426 17.93465 17.736057000000002 16.817448000000002 16.662075 16.003342 15.604683999999999 15.809118 15.317314000000001 16.176765 0.06868017 0.07885972 0.17651139 0.039253667 0.031352073 0.0077696736 0.012944341000000002 0.004273234 0.004119138 0.003938972 0.005500291 0.0065413425 0.19422400000000017 0.39865800000000107 0.00581171482744465 0.00593530341952288
HYDRA-0086 iDR3.HYDRA-0086.032418 151.22186813213497 -35.18925627635001 15.398874 556 3.9603004 12.0 2 18.84705 18.736245999999998 18.726945999999998 18.232012 18.116535 17.634182 17.689785 17.354774 17.10535 17.422325 17.174139999999998 17.359278 0.04623608 0.056291703 0.08409715 0.04920612 0.041546293 0.013187514 0.025363607000000003 0.0095420005 0.009581319 0.010513719 0.017373862 0.015025594 -0.06755100000000169 0.24942399999999765 0.014198171035487678 0.01352225747875558
HYDRA-0087 iDR3.HYDRA-0087.016049 152.97823714128333 -35.31065178402573 1075.1525 219371 3.405182 11.0 68 21.801682999999997 99.0 23.04626 22.161413 21.075401 19.338423000000002 19.165112 17.264858 16.736763 16.605929999999997 15.824854 15.547839999999999 0.40810663 21.418457 3.0841656000000004 1.2741381 0.45545554 0.041531745 0.07038145 0.008623285999999999 0.00838204 0.0066912514 0.008118063 0.0048654596 0.6589280000000031 0.5280950000000004 0.010914847994168217 0.012025791283711687
HYDRA-0087 iDR3.HYDRA-0087.041481 153.24854544281163 -34.93516325847801 24.816542000000002 576 5.4009675999999995 12.0 3 19.321156 18.590515 18.720295 18.702116 18.535213 18.221657 17.538929 17.94538 17.061066 17.877095999999998 17.820482000000002 17.748978 0.048732564000000006 0.043961726 0.070273265 0.062793374 0.052951023 0.01774921 0.02145239 0.0132839745 0.010110124 0.01629407 0.034714505 0.025127761000000002 0.06828400000000201 0.8843139999999998 0.02102286126295729 0.0166936690338591
HYDRA-0088 iDR3.HYDRA-0088.061824 153.42462857062154 -34.85508456238106 20.676476 5233 4.216737 12.0 3 18.402681 17.928894 17.833866 17.726001999999998 17.54879 17.354969 17.086707999999998 16.927647 16.534931 16.75143 16.517437 16.503883 0.020782336999999998 0.021815442 0.029386307999999996 0.024854332000000003 0.021679401 0.008385116 0.014288133 0.0060475958 0.00585002 0.0060208593000000005 0.010251383000000001 0.0073121777 0.17621700000000118 0.39271600000000007 0.008533707381353905 0.00841404474438885
HYDRA-0089 iDR3.HYDRA-0089.036369 155.35096433273344 -35.08289663945455 8.773305 480 4.3122787 12.0 3 19.088135 18.653229999999997 18.562738 18.441042000000003 18.324036 18.226013000000002 18.03226 17.772142000000002 17.517506 17.70802 17.639975 17.54382 0.030816866000000002 0.034332197 0.051881947000000005 0.04002788 0.035472523 0.013714365 0.024514444 0.011278763 0.009619194000000001 0.011107438999999998 0.019558232 0.01460881 0.06412200000000112 0.2546360000000014 0.01582989879780948 0.014823609142843893
HYDRA-0091 iDR3.HYDRA-0091.000621 158.97554153607146 -35.69880939982497 12.873403999999999 645 3.736208 12.0 2 19.189860999999997 18.922801999999997 18.352915 17.9262 17.777103 17.475908 17.397451 17.190487 16.938242000000002 17.096684 17.220837 16.944712 0.035752628 0.04546918 0.05020209 0.034273606 0.03141161 0.010551858999999999 0.019935926 0.0075258357 0.0080403425 0.007758053000000001 0.016639723999999998 0.010441189 0.09380300000000119 0.2522449999999985 0.010808588683736813 0.0110129610232989
